Date,Time,Team 1,Team 1 Score,Team 2 Score,Team 2,Result,Final Score,Team 1 Odds,Team 2 Odds,Bookies Count,Year,Page
28 Sep 2021,19:30,Mumbai Indians,137,135,Punjab Kings,Neutral location.,137/4 (19) : 135/6 (20),1.56,2.37,9,2021,2
27 Sep 2021,19:30,Sunrisers Hyderabad,167,164,Rajasthan Royals,Neutral location.,167/3 (18.3) : 164/5 (20),2.09,1.71,9,2021,2
26 Sep 2021,19:30,Royal Challengers Bengaluru,165,111,Mumbai Indians,Neutral location.,165/6 (20) : 111/10 (18.1),2.30,1.60,9,2021,2
25 Sep 2021,19:30,Sunrisers Hyderabad,120,125,Punjab Kings,Neutral location.,120/7 (20) : 125/7 (20),1.92,1.85,9,2021,2
24 Sep 2021,19:30,Royal Challengers Bengaluru,156,157,Chennai Super Kings,Neutral location.,156/6 (20) : 157/4 (18.1),1.99,1.78,9,2021,2
23 Sep 2021,19:30,Mumbai Indians,155,159,Kolkata Knight Riders,Neutral location.,155/6 (20) : 159/3 (15.1),1.66,2.14,9,2021,2
22 Sep 2021,19:30,Delhi Capitals,139,134,Sunrisers Hyderabad,Neutral location.,139/2 (17.5) : 134/9 (20),1.60,2.27,9,2021,2
21 Sep 2021,19:30,Punjab Kings,183,185,Rajasthan Royals,Neutral location.,183/4 (20) : 185/10 (20),1.74,2.08,9,2021,2
20 Sep 2021,19:30,Kolkata Knight Riders,94,92,Royal Challengers Bengaluru,Neutral location.,94/1 (10) : 92/10 (19),2.02,1.76,9,2021,2
19 Sep 2021,19:30,Chennai Super Kings,156,136,Mumbai Indians,Neutral location.,156/6 (20) : 136/8 (20),2.09,1.70,9,2021,2
02 May 2021,19:30,Punjab Kings,166,167,Delhi Capitals,Delhi Capitals won by 7 wickets.,166/6 (20) : 167/3 (17.4),2.49,1.49,9,2021,2
01 May 2021,19:30,Mumbai Indians,219,218,Chennai Super Kings,Mumbai Indians won by 4 wickets.,219/6 (20) : 218/4 (20),1.58,2.24,9,2021,2
30 Apr 2021,19:30,Punjab Kings,179,145,Royal Challengers Bengaluru,No spectators.,179/5 (20) : 145/8 (20),2.45,1.53,9,2021,2
29 Apr 2021,19:30,Delhi Capitals,156,154,Kolkata Knight Riders,No spectators.,156/3 (16.3) : 154/6 (20),1.64,2.18,9,2021,2
28 Apr 2021,19:30,Chennai Super Kings,173,171,Sunrisers Hyderabad,No spectators.,173/3 (18.3) : 171/3 (20),1.67,2.14,9,2021,2
27 Apr 2021,19:30,Delhi Capitals,170,171,Royal Challengers Bengaluru,No spectators.,170/4 (20) : 171/5 (20),1.71,2.05,9,2021,2
